"Date","Price","Open","High","Low","Vol.","Change %"
"08/25/2024","2.98","2.99","3.05","2.80","161.95K","-0.33%"
"08/18/2024","2.99","2.87","2.99","2.86","67.11K","4.18%"
"08/11/2024","2.87","2.84","2.91","2.82","35.13K","0.70%"
"08/04/2024","2.85","2.85","2.88","2.75","284.80K","-2.73%"
"07/28/2024","2.93","2.92","3.08","2.87","82.82K","0.00%"
"07/21/2024","2.93","2.61","2.93","2.60","50.48K","10.57%"
"07/14/2024","2.65","2.65","2.73","2.56","40.48K","-3.28%"
"07/07/2024","2.74","2.73","2.76","2.61","65.19K","0.74%"
"06/30/2024","2.72","2.73","2.75","2.66","0.41K","-0.37%"
"06/23/2024","2.73","2.71","2.76","2.57","13.16K","0.00%"
"06/16/2024","2.73","2.63","2.95","2.54","20.70K","2.25%"
"06/09/2024","2.67","2.98","2.99","2.60","105.64K","-9.80%"
"06/02/2024","2.96","2.77","3.01","2.69","98.38K","6.47%"
"05/26/2024","2.78","2.80","2.83","2.75","41.35K","0.00%"
"05/19/2024","2.78","2.93","3.00","2.71","349.44K","-5.76%"
"05/12/2024","2.95","3.25","3.28","2.92","264.38K","-7.23%"
"05/05/2024","3.18","3.12","3.18","3.06","","2.58%"
"04/28/2024","3.10","3.09","3.21","2.98","276.59K","-0.32%"
"04/21/2024","3.11","3.21","3.34","3.06","25.45K","-7.16%"
"04/14/2024","3.35","3.08","3.45","3.01","66.35K","9.12%"
"04/07/2024","3.07","3.01","3.10","2.98","66.85K","-0.65%"
"03/31/2024","3.09","3.16","3.16","2.92","75.78K","-4.04%"
"03/24/2024","3.22","3.25","3.28","3.00","508.72K","-1.23%"
"03/17/2024","3.26","3.41","3.65","3.26","389.31K","-5.23%"
"03/10/2024","3.44","3.64","3.85","3.30","507.86K","-5.23%"
"03/03/2024","3.63","3.50","3.65","3.48","199.32K","3.71%"
"02/25/2024","3.50","3.50","3.54","3.39","276.54K","0.57%"
"02/18/2024","3.48","3.27","3.52","3.10","243.68K","6.42%"
"02/11/2024","3.27","2.78","3.34","2.78","682.30K","14.74%"
"02/04/2024","2.85","2.73","2.85","2.69","606.69K","2.15%"
"01/28/2024","2.79","2.77","2.79","2.48","882.22K","0.72%"
"01/21/2024","2.77","2.85","2.86","2.71","73.93K","-2.81%"
"01/14/2024","2.85","2.72","2.89","2.72","451.70K","5.17%"
"01/07/2024","2.71","2.58","2.75","2.58","67.03K","4.23%"
"12/31/2023","2.60","2.61","2.72","2.53","66.44K","-0.76%"
"12/24/2023","2.62","2.56","2.63","2.52","32.31K","1.55%"
"12/17/2023","2.58","2.70","2.70","2.54","66.32K","-5.15%"
"12/10/2023","2.72","2.46","2.72","2.43","53.41K","8.80%"
"12/03/2023","2.50","2.53","2.58","2.42","77.73K","-3.10%"
"11/26/2023","2.58","2.64","2.65","2.46","203.50K","-4.09%"
"11/19/2023","2.69","2.69","2.76","2.53","163.77K","-0.74%"
"11/12/2023","2.71","2.72","2.86","2.60","83.69K","-1.45%"
"11/05/2023","2.75","2.89","2.92","2.58","312.98K","-3.51%"
"10/29/2023","2.85","2.57","2.90","2.57","101.14K","5.95%"
"10/22/2023","2.69","2.70","2.79","2.42","230.48K","-2.18%"
