EmployeeID,Salary,Age,YearsExperience
1001,151958,32,25
1002,176867,59,13
1003,161932,22,27
1004,133694,50,27
1005,149879,31,20
1006,140268,49,3
1007,84886,52,16
1008,167337,40,7
1009,198266,24,12
1010,117498,57,29
1011,142727,36,15
1012,156324,54,8
1013,46023,47,23
1014,71090,37,17
1015,97221,57,1
1016,94820,54,29
1017,30769,41,21
1018,89735,34,8
1019,94925,54,14
1020,35311,26,10
1021,133355,58,27
1022,115305,35,19
1023,189765,48,8
1024,160608,44,19
1025,186730,35,4
1026,114478,25,10
1027,152537,40,23
1028,179503,25,3
1029,160523,51,4
1030,32747,40,16
1031,153855,52,24
1032,95725,52,4
1033,159981,30,25
1034,114654,34,20
1035,196845,35,29
1036,149346,31,20
1037,97435,52,13
1038,86886,58,21
1039,96803,44,17
1040,61551,48,23
1041,146216,27,25
1042,41394,47,16
1043,99092,23,28
1044,33890,34,25
1045,71606,40,17
1046,117313,22,6
1047,171699,53,3
1048,38792,43,20
1049,184969,50,24
1050,98148,23,4
1051,154243,59,8
1052,150174,32,20
1053,184555,38,9
1054,154358,29,22
1055,78555,43,1
1056,47159,25,13
1057,140510,32,26
1058,136530,29,2
1059,110077,30,23
1060,65920,47,10
1061,49457,23,23
1062,108953,37,19
1063,82995,52,17
1064,39692,27,24
1065,67065,42,13
1066,129299,47,29
1067,193678,40,26
1068,41534,49,14
1069,70397,29,27
1070,121387,35,11
1071,31016,45,10
1072,85591,58,7
1073,53247,47,10
1074,54300,52,24
1075,112798,53,1
1076,39268,23,14
1077,116807,46,3
1078,42185,23,13
1079,169643,22,2
1080,68044,57,17
1081,81214,33,21
1082,144752,30,3
1083,78984,57,26
1084,70774,49,15
1085,32568,59,8
1086,150151,54,6
1087,163767,43,26
1088,154375,46,9
1089,166330,39,25
1090,69504,27,11
1091,194231,39,22
1092,43986,37,2
1093,91858,36,9
1094,159312,29,18
1095,42666,34,19
1096,68660,28,22
1097,164633,38,18
1098,56854,53,5
1099,94505,43,18
1100,134488,34,12
1101,52662,44,4
1102,38392,50,15
1103,60535,43,11
1104,143569,22,27
1105,82256,50,19
1106,119135,26,5
1107,157478,56,6
1108,65222,31,13
1109,107373,40,23
1110,153684,58,10
1111,40965,28,24
1112,54538,56,25
1113,138066,34,14
1114,143252,31,4
1115,169182,23,20
1116,188338,27,23
1117,128806,29,12
1118,167982,57,15
1119,140989,46,26
1120,120982,28,10
1121,151626,44,11
1122,149176,40,9
1123,161278,43,11
1124,152409,34,2
1125,53419,42,13
1126,80015,22,27
1127,152096,40,22
1128,137059,54,26
1129,140687,25,26
1130,117939,24,8
1131,179213,48,29
1132,135878,56,21
1133,194899,49,21
1134,92623,27,8
1135,105450,27,1
1136,123426,44,6
1137,147845,54,26
1138,183371,37,13
1139,73585,45,9
1140,139225,26,28
1141,94044,34,6
1142,139556,33,15
1143,32693,26,23
1144,125259,58,16
1145,55939,52,4
1146,182906,49,28
1147,48047,49,26
1148,56105,51,17
1149,105766,39,9
1150,176779,48,12
1151,183048,56,22
1152,74262,47,19
1153,155117,39,20
1154,53776,54,26
1155,191152,46,12
1156,158376,52,22
1157,167848,58,6
1158,122787,23,12
1159,157948,54,9
1160,85016,53,20
1161,170546,39,5
1162,51959,38,21
1163,166602,55,3
1164,149101,28,2
1165,33748,56,8
1166,43545,51,10
1167,157659,33,15
1168,195838,56,9
1169,103530,32,10
1170,123557,25,11
1171,91087,46,29
1172,98840,53,9
1173,148451,41,14
1174,81005,52,5
1175,69353,25,27
1176,82733,59,9
1177,95318,22,4
1178,184736,24,2
1179,97172,58,19
1180,123264,43,1
1181,56736,38,21
1182,142859,35,1
1183,142181,56,12
1184,161926,34,11
1185,120084,56,1
1186,199695,23,14
1187,37392,34,27
1188,85680,37,11
1189,80859,39,29
1190,155657,28,7
1191,187381,57,2
1192,100467,51,15
1193,128506,28,8
1194,139751,36,22
1195,148906,40,20
1196,173760,58,25
1197,55342,23,15
1198,198229,34,26
1199,136308,52,8
1200,136081,37,29
1201,119045,27,10
1202,64698,49,19
1203,140078,53,3
1204,110623,31,20
1205,52671,39,14
1206,186256,25,9
1207,123384,30,9
1208,116202,28,21
1209,81663,29,28
1210,45708,28,25
1211,121906,24,6
1212,79811,38,8
1213,163883,23,11
1214,86250,36,8
1215,142547,50,12
1216,154249,43,10
1217,64754,25,23
1218,172483,27,4
1219,163983,59,16
1220,169752,47,20
1221,114896,32,6
1222,101295,47,9
1223,130689,38,23
1224,41111,45,5
1225,67504,49,21
1226,162874,56,24
